fit_decile,interview_rate,mean_reward
"(0.348, 0.62]",0.07693333333333334,0.08061084944260158
"(0.62, 0.677]",0.09747333333333333,0.10238199106230966
"(0.677, 0.716]",0.11033333333333334,0.11336436966644525
"(0.716, 0.743]",0.11758666666666667,0.1216029588661978
"(0.743, 0.765]",0.12148666666666667,0.12683202276056108
"(0.765, 0.788]",0.12889333333333333,0.13546267851168725
"(0.788, 0.814]",0.13670666666666667,0.14420035253899643
"(0.814, 0.847]",0.15076,0.1576218148406273
"(0.847, 0.889]",0.16958,0.1757168492218848
"(0.889, 0.99]",0.18817333333333333,0.19981722643465188
